Date,GOOGLE,META,TESLA,MSFT
2025-04-03,163.11911,608.0195,277.1119,381.11502
2025-04-04,161.81342,603.8858,274.78314,378.6255
2025-04-07,160.13054,597.34357,266.9701,373.88287
2025-04-08,158.39449,589.8861,256.08508,368.50992
2025-04-09,156.57759,581.8885,243.1823,363.23947
2025-04-10,155.68034,577.05707,239.90465,365.74365
2025-04-11,155.11484,573.031,239.7188,370.50323
2025-04-14,155.0413,569.67755,241.66573,377.11057
2025-04-15,155.41316,566.41547,244.75864,383.36295
2025-04-16,155.88309,562.92444,248.48479,387.75735
2025-04-17,156.1895,558.6001,249.86967,387.4513
2025-04-21,156.23183,553.83276,249.62108,383.8159
2025-04-22,155.88318,548.24805,246.01715,377.32425
2025-04-23,155.53468,542.99536,242.79378,371.89435
2025-04-24,155.43594,539.0483,242.53828,369.44434
2025-04-25,155.73453,536.74646,245.71921,371.57767
2025-04-28,156.42026,536.30084,255.0806,376.80377
2025-04-29,157.23254,537.2733,266.98022,382.68753
2025-04-30,158.05086,539.3732,279.61017,388.36356
2025-05-01,158.74612,541.90936,288.60654,392.99756
2025-05-02,159.42482,545.5748,293.34842,402.0111
2025-05-05,160.22757,550.87244,295.6993,413.5039
2025-05-06,161.07623,557.15125,294.64938,424.0946
2025-05-07,161.85107,563.3147,290.6248,431.22266
2025-05-08,161.78857,569.48517,285.49902,434.76123
2025-05-09,161.3521,575.4013,282.05005,436.37274
2025-05-12,160.61693,580.628,282.6247,436.49966
2025-05-13,160.04768,587.0837,289.3281,437.8382
2025-05-14,159.70976,594.7885,301.70667,439.39145
2025-05-15,159.90436,603.16754,318.16623,441.50543
2025-05-16,160.35785,610.98914,333.2564,443.4935
2025-05-19,161.0735,617.90454,346.11697,445.24902
2025-05-20,161.9389,623.857,353.4208,447.48975
2025-05-21,162.69179,628.7235,356.1119,449.37622
2025-05-22,163.60054,632.5531,353.3617,449.5405
2025-05-23,164.6665,635.54407,348.93362,449.29526
2025-05-27,165.6252,637.4403,343.74597,447.92853
2025-05-28,166.71298,639.1456,343.6688,448.52875
2025-05-29,167.77971,640.7087,345.36923,449.365
2025-05-30,168.73979,642.19086,348.19565,450.52872
2025-06-02,169.56143,643.66797,348.77698,452.02283
2025-06-03,170.09146,646.0539,347.21188,453.74982
2025-06-04,170.23802,648.7988,345.0087,455.46402
2025-06-05,170.22607,652.55054,340.43405,457.00186
2025-06-06,170.14015,656.68164,326.13245,458.9144
2025-06-09,170.3228,661.42426,310.98306,461.15323
2025-06-10,170.83815,666.20575,300.6248,463.55185
2025-06-11,171.68631,671.1283,298.4383,465.0791
2025-06-12,172.62674,675.5664,301.94238,466.14362
2025-06-13,173.45627,679.4279,307.21902,468.00766
2025-06-16,174.09074,682.27295,314.0884,468.97208
2025-06-17,174.6778,685.0748,321.59973,470.1402
2025-06-18,175.15352,687.51306,325.73346,470.85953
2025-06-20,175.33247,689.5477,328.21033,471.64108
2025-06-23,174.93196,690.66766,329.1717,471.63937
2025-06-24,174.07616,691.77826,334.1777,473.08322
2025-06-25,173.08386,693.3893,338.95456,475.80203
2025-06-26,172.29666,695.1425,340.06595,479.0468
2025-06-27,171.87825,697.6392,338.2879,482.95407
2025-06-30,171.9647,700.8362,334.5094,485.934
2025-07-01,172.32693,704.5523,328.92294,488.03146
2025-07-02,172.81659,707.68066,319.91513,487.92932
2025-07-03,173.5245,710.02484,313.36285,486.45892
2025-07-07,174.37317,711.9235,309.3627,486.24353
2025-07-08,175.07672,713.3921,303.63095,486.4149
2025-07-09,175.49185,714.59705,298.76233,486.54056
2025-07-10,175.83784,716.06323,295.00656,488.15424
2025-07-11,176.17834,717.4213,295.3541,489.7155
2025-07-14,176.65251,718.2608,298.97052,491.34372
